stkcd,stknme,ret
001219.SZ,青岛食品,0.012266666666666901
001222.SZ,源飞宠物,-0.00254777070063694
001223.SZ,欧克科技,-0.0082920649545088
001225.SZ,和泰机电,0.0038185085354896396
001226.SZ,拓山重工,-0.0206808781419026
001227.SZ,兰州银行,0.0566666666666666
001228.SZ,永泰运,0.00965346534653475
001229.SZ,魅视科技,-0.00430606160980463
001230.SZ,劲旅环境,-0.00437549721559259
001231.SZ,农心科技,0.00562060889929724
001234.SZ,泰慕士,0.039378238341968796
001236.SZ,弘业期货,0.06889352818371601
001238.SZ,浙江正特,0.024945295404814098
001255.SZ,博菲电气,-0.00272851296043655
001256.SZ,炜冈科技,0.0211581291759465
001258.SZ,立新能源,0.0
001259.SZ,利仁科技,0.014050719671007501
001260.SZ,坤泰股份,0.009887005649717659
001266.SZ,宏英智能,0.0022505626406601003
001267.SZ,汇绿生态,-0.0033557046979865203
001268.SZ,联合精密,0.00581915846016111
001269.SZ,欧晶科技,0.00505138477617158
001270.SZ,铖昌科技,0.00977552498189726
001278.SZ,一彬科技,-0.00395778364116104
001282.SZ,三联锻造,0.014710689767898
001283.SZ,豪鹏科技,-0.0130799100756183
001286.SZ,陕西能源,0.00297914597815292
001287.SZ,中电港,-0.0168453292496172
001288.SZ,运机集团,-0.0104834012813047
001289.SZ,龙源电力,0.00451807228915676
001296.SZ,长江材料,-0.00273099681383696
001298.SZ,好上好,0.00471092077087798
001299.SZ,美能能源,0.0113636363636363
001300.SZ,三柏硕,0.00549019607843136
001301.SZ,尚太科技,0.0103567318757191
001308.SZ,康冠科技,-0.00364033491081175
001309.SZ,德明利,0.00723154591349412
001311.SZ,多利科技,-0.009205776173285189
001313.SZ,粤海饲料,0.008215962441314551
001314.SZ,亿道信息,0.00181347150259061
001316.SZ,润贝航科,0.0005560189046428269
001317.SZ,三羊马,0.00641539695268643
001318.SZ,阳光乳业,0.0027700831024931698
001319.SZ,铭科精技,-0.0143718127028279
001322.SZ,箭牌家居,0.10029154518950399
001323.SZ,慕思股份,0.0473972602739725
001324.SZ,长青科技,0.00849056603773584
001328.SZ,登康口腔,-0.0025387870239774
001330.SZ,博纳影业,0.00111234705228029
001331.SZ,胜通能源,0.00402993667242373
001332.SZ,锡装股份,0.00466926070038908
001333.SZ,光华股份,0.00235941801022406
001336.SZ,楚环科技,0.0007476635514018499
001337.SZ,四川黄金,-0.022379269729093
001338.SZ,永顺泰,0.014840182648401801
001339.SZ,智微智能,-0.00828937452901276
001360.SZ,南矿集团,0.00619020821609451
001366.SZ,播恩集团,0.0070603337612323005
001367.SZ,海森药业,-0.0008760402978536829
001368.SZ,通达创智,0.0126984126984127
001373.SZ,翔腾新材,-0.0328577604842195
001380.SZ,华纬科技,-0.0370479270802705
001696.SZ,宗申动力,0.0042492917847026905
001872.SZ,招商港口,0.0164585698070373
001896.SZ,豫能控股,0.00431034482758632
001914.SZ,招商积余,0.013299556681444
001965.SZ,招商公路,0.00989010989010981
001979.SZ,招商蛇口,0.0424739195230999
002001.SZ,新和成,0.00482509047044649
002002.SZ,鸿达兴业,0.008333333333333321
002003.SZ,伟星股份,0.00804828973843053
002004.SZ,华邦健康,0.00770712909441225
002005.SZ,ST德豪,0.014492753623188399
002006.SZ,精工科技,0.000531632110579511
002007.SZ,华兰生物,0.0113586719091305
002008.SZ,大族激光,0.012401818933443401
002009.SZ,天奇股份,-0.0007616146230008821
002010.SZ,传化智联,0.00543478260869574
002011.SZ,盾安环境,-0.0200296735905044
002012.SZ,凯恩股份,0.00829187396351567
002014.SZ,永新股份,0.0101010101010101
002015.SZ,协鑫能科,-0.007092198581560199
002016.SZ,世荣兆业,0.004219409282700429
002017.SZ,东信和平,0.0017528483786152
002019.SZ,亿帆医药,-0.00214745884037236
002020.SZ,京新药业,0.0
002021.SZ,*ST中捷,-0.00961538461538464
002022.SZ,科华生物,0.0112244897959183
002023.SZ,海特高新,0.031645569620253
002024.SZ,ST易购,0.0149999999999999
002025.SZ,航天电器,0.0005263157894736001
002026.SZ,山东威达,0.006465517241379301
002027.SZ,分众传媒,0.00137551581843209
002028.SZ,思源电气,-0.00642957604982926
002029.SZ,七匹狼,0.0295489891135302
002030.SZ,达安基因,0.00498007968127498
002031.SZ,巨轮智能,-0.00524934383202098
002032.SZ,苏泊尔,0.0234230532155332
002033.SZ,丽江股份,0.00744186046511633
002034.SZ,旺能环境,0.0018587360594796202
002035.SZ,华帝股份,0.0331230283911672
002036.SZ,联创电子,0.0210237659963438
002037.SZ,保利联合,-0.00729166666666654
002038.SZ,双鹭药业,-0.00101214574898801
002039.SZ,黔源电力,0.0050468637346790905
002040.SZ,南京港,0.0128571428571429
002041.SZ,登海种业,0.00499999999999989
002042.SZ,华孚时尚,0.0190476190476191
002043.SZ,兔宝宝,0.0710526315789474
002044.SZ,美年健康,0.0027894002789400703
002045.SZ,国光电器,-0.002939015429831
002046.SZ,国机精工,0.00171086398631316
002047.SZ,宝鹰股份,-0.0030030030030030602
002048.SZ,宁波华翔,0.0161764705882352
002049.SZ,紫光国微,0.0101867572156198
002050.SZ,三花智控,-0.0150513950073422
002051.SZ,中工国际,0.0229479258605472
002052.SZ,ST同洲,0.0
002053.SZ,云南能投,0.005240174672489159
002054.SZ,德美化工,0.0152777777777778
002055.SZ,得润电子,0.00631578947368418
002056.SZ,横店东磁,0.006413994169096399
002057.SZ,中钢天源,0.00409836065573783
002058.SZ,威尔泰,-0.0072793448589627
002059.SZ,云南旅游,0.00308166409861322
002060.SZ,粤水电,0.00313479623824456
002061.SZ,浙江交科,0.0091533180778032
002062.SZ,宏润建设,0.00175746924428821
002063.SZ,远光软件,0.0336906584992342
002064.SZ,华峰化学,0.012362637362637301
002065.SZ,东华软件,0.0120481927710844
002066.SZ,瑞泰科技,0.00249169435215961
002067.SZ,景兴纸业,0.011299435028248499
002068.SZ,黑猫股份,0.0008510638297870531
002069.SZ,獐子岛,0.00881057268722459
002072.SZ,凯瑞德,0.00462962962962953
002073.SZ,软控股份,-0.0059084194977843
002074.SZ,国轩高科,0.00899213188460083
002075.SZ,沙钢股份,0.00710900473933646
002076.SZ,星光股份,-0.0075471698113207895
002077.SZ,大港股份,-0.0215439856373429
002078.SZ,太阳纸业,0.027303754266211403
002079.SZ,苏州固锝,0.0032076984763431
002080.SZ,中材科技,0.0744274809160305
002081.SZ,金螳螂,0.0062240663900413095
002082.SZ,万邦德,0.00558659217877084
002083.SZ,孚日股份,0.010706638115631599
002084.SZ,海鸥住工,0.0120481927710843
002085.SZ,万丰奥威,0.00784929356357924
002086.SZ,*ST东洋,0.007662835249042221
002087.SZ,*ST新纺,-0.0142857142857143
002088.SZ,鲁阳节能,0.016456390565002702
002089.SZ,*ST新海,0.0178571428571428
002090.SZ,金智科技,0.0008554319931564961
002091.SZ,江苏国泰,0.0038461538461538602
002092.SZ,中泰化学,0.0238095238095238
002093.SZ,国脉科技,0.00259740259740256
002094.SZ,青岛金王,0.0287206266318536
002095.SZ,生意宝,0.019089574155653398
002096.SZ,易普力,0.00855431993156542
002097.SZ,山河智能,0.012288786482334899
002098.SZ,浔兴股份,0.0145161290322581
002099.SZ,海翔药业,0.006234413965087299
002100.SZ,天康生物,0.0024570024570023997
002101.SZ,广东鸿图,-0.0108749382105782
002102.SZ,冠福股份,0.0062111801242235795
002103.SZ,广博股份,0.00323101777059766
002104.SZ,恒宝股份,0.0272835112692764
002105.SZ,信隆健康,0.00636942675159243
002106.SZ,莱宝高科,0.00930232558139539
002107.SZ,沃华医药,0.00655737704918031
002108.SZ,沧州明珠,0.0065789473684211
002109.SZ,兴化股份,0.008830022075055321
002110.SZ,三钢闽光,0.0232067510548521
002111.SZ,威海广泰,0.00750267952840316
002112.SZ,三变科技,-0.0190476190476191
002113.SZ,*ST天润,0.0
002114.SZ,罗平锌电,0.021947873799725598
002115.SZ,三维通信,-0.00161030595813196
002116.SZ,中国海诚,0.00683890577507587
002117.SZ,东港股份,-0.00202020202020193
002118.SZ,*ST紫鑫,0.0
002119.SZ,康强电子,-0.00793650793650797
002120.SZ,韵达股份,0.010934393638171001
002121.SZ,科陆电子,0.00628930817610062
